parent,rank,child,weight,extraction_rate
1501,0,1502,1,0.9
1501,0,1503,1,0.4
1501,0,1504,1,0.4
1501,0,1505,1,0.35
1501,0,1506,1,0.65
1501,0,1507,1,1
1501,0,1508,1,0.17
1501,0,1509,0,
1501,0,1510,0,
1501,0,1511,0,
1502,1,1503,1,
1502,1,1504,1,
1502,1,1505,1,
1502,1,1506,1,
1502,1,1507,1,
1502,1,1508,1,
1503,2,1504,1,
1503,2,1505,1,
1503,2,1506,1,
1503,2,1507,1,
1504,3,1505,1,
1504,3,1506,1,
1504,3,1507,1,
1505,4,1506,1,
1505,4,1507,1,
1514,0,1515,1,0.8
1514,0,1516,1,0.35
1514,0,1517,1,0.32
1514,0,1518,1,0.33
1514,0,1519,1,0.5
1514,0,1520,1,1
1514,0,1521,1,0.18
1514,0,1522,0,
1514,0,1523,0,
1514,0,1524,0,
1515,1,1516,1,
1515,1,1517,1,
1515,1,1518,1,
1515,1,1519,1,
1515,1,1520,1,
1515,1,1521,1,
1516,2,1517,1,
1516,2,1518,1,
1516,2,1519,1,
1516,2,1520,1,
1517,3,1518,1,
1517,3,1519,1,
1517,3,1520,1,
1518,4,1519,1,
1518,4,1520,1,
1527,0,1528,1,0.9
1527,0,1529,1,0.55
1527,0,1530,1,0.5
1527,0,1531,1,0.4
1527,0,1532,1,0.5
1527,0,1533,1,1
1527,0,1534,1,0.2
1527,0,1535,0,
1527,0,1536,0,
1527,0,1537,0,
1528,1,1529,1,
1528,1,1530,1,
1528,1,1531,1,
1528,1,1532,1,
1528,1,1533,1,
1528,1,1534,1,
1529,2,1530,1,
1529,2,1531,1,
1529,2,1532,1,
1529,2,1533,1,
1530,3,1531,1,
1530,3,1532,1,
1530,3,1533,1,
1531,4,1532,1,
1531,4,1533,1,
1540,0,1541,1,0.9
1540,0,1542,1,0.5
1540,0,1543,1,0.45
1540,0,1544,1,0.4
1540,0,1545,1,0.57
1540,0,1546,1,1
1540,0,1547,1,0.2
1540,0,1548,0,
1540,0,1549,0,
1540,0,1550,0,
1541,1,1542,1,
1541,1,1543,1,
1541,1,1544,1,
1541,1,1545,1,
1541,1,1546,1,
1541,1,1547,1,
1542,2,1543,1,
1542,2,1544,1,
1542,2,1545,1,
1542,2,1546,1,
1543,3,1544,1,
1543,3,1545,1,
1543,3,1546,1,
1544,4,1545,1,
1544,4,1546,1,
1553,0,1554,1,0.6
1553,0,1555,1,0.33
1553,0,1556,1,0.25
1553,0,1557,1,0.3
1553,0,1558,1,0.2
1553,0,1559,0,
1554,1,1555,1,
1554,1,1556,1,
1554,1,1557,1,
1554,1,1558,1,
1555,2,1556,1,
1555,2,1557,1,
1562,0,1563,1,0.3
1562,0,1564,1,0.15
1562,0,1565,1,0.15
1562,0,1566,1,0.2
1562,0,1567,0,
1563,1,1564,1,
1563,1,1565,1,
1563,1,1566,1,
1564,2,1565,1,
1579,0,1580,1,0.7
1579,0,1581,1,0.2
1579,0,1583,1,0.5
1579,0,1582,0,0.14
1579,0,1584,0,0.2
1580,1,1583,1,
1570,0,1571,1,1
1570,0,1572,1,0.25
1570,0,1573,1,0.6
1570,0,1574,1,0.5
1570,0,1575,1,0.2
1570,0,1576,0,
1571,1,1572,1,
1571,1,1573,1,
1571,1,1574,1,
1571,1,1575,1,
1572,2,1573,1,
1572,2,1574,1,
1587,0,1588,1,0.25
1587,0,1589,1,0.2
1587,0,1590,1,0.5
1587,0,1591,0,
1588,1,1590,1,
1594,0,1595,1,0.15
1594,0,1596,1,0.02
